Platform, Symbol, Units, LR, Test_Loss, Test_Acc, Val_Loss
Binance,AAVEUSDT.csv,448,0.1,1.2222347259521484,1.105547308921814,0.004465862642973661
Binance,ADAUSDT.csv,512,0.0001,0.00822498183697462,0.09069168567657471,0.000526839925441891
Binance,BATUSDT.csv,160,0.001,0.004009196534752846,0.06331822276115417,0.001690261298790574
Binance,BNBUSDT.csv,64,0.0001,0.027211090549826622,0.16495785117149353,0.002179554896429181
Binance,BTCUSDT.csv,64,0.0001,0.0026139221154153347,0.05112653225660324,0.0003110162215307355
Binance,BTTUSDT.csv,512,0.0001,3.0597642762586474e-05,0.005531513597816229,4.633322896552272e-05
Binance,CELRUSDT.csv,512,0.001,0.0063074189238250256,0.07941926270723343,8.260304457508028e-05
Binance,CVCUSDT.csv,512,0.1,1.1610966920852661,1.0775420665740967,0.14487560093402863
Binance,DAIUSDT.csv,64,0.1,0.14941740036010742,0.38654547929763794,0.3031156063079834
Binance,DASHUSDT.csv,192,0.01,0.24888521432876587,0.4988839626312256,0.05104953050613403
Binance,DOTUSDT.csv,512,0.01,0.00372951477766037,0.061069756746292114,0.0003652748710010201
Binance,EOSUSDT.csv,480,0.1,0.21252529323101044,0.46100467443466187,0.10025475919246674
Binance,ETCUSDT.csv,128,0.0001,2.4949111938476562,1.5795286893844604,7.392086505889893
Binance,ETHUSDT.csv,384,0.1,1.5887283086776733,1.2604477405548096,0.32191964983940125
Binance,FILUSDT.csv,352,0.01,0.010854317806661129,0.10418406128883362,0.0022364018950611353
Binance,ICPUSDT.csv,192,0.01,0.0011828559217974544,0.03439267352223396,0.0002391891466686502
Binance,ICXUSDT.csv,64,0.01,0.11201030015945435,0.33467939496040344,0.00018835871014744043
Binance,LINKUSDT.csv,224,0.001,0.0009860866703093052,0.031402017921209335,0.00014732165436726063
Binance,LRCUSDT.csv,480,0.01,0.012880845926702023,0.11349380761384964,0.0011697065783664584
Binance,LTCUSDT.csv,256,0.0001,0.0005642776377499104,0.023754527792334557,0.00010176033538300544
Binance,MATICUSDT.csv,64,0.001,0.00026337485178373754,0.016228828579187393,7.829639071132988e-05
Binance,MKRUSDT.csv,512,0.1,1.455508828163147,1.2064447402954102,0.0019019079627469182
Binance,NEOUSDT.csv,448,0.01,0.14495038986206055,0.3807235062122345,0.01974351517856121
Binance,ONEUSDT.csv,512,0.1,1.162965178489685,1.0784087181091309,0.0021870711352676153
Binance,PAXUSDT.csv,416,0.01,0.005033520050346851,0.0709473043680191,0.008587357588112354
Binance,QTUMUSDT.csv,288,0.0001,0.004019934684038162,0.06340295821428299,0.0006102356128394604
Binance,SCUSDT.csv,512,0.001,0.0008536630193702877,0.029217509552836418,1.1267391528235748e-05
Binance,SOLUSDT.csv,288,0.01,2.9791696071624756,1.726027011871338,0.005971203092485666
Binance,TRXUSDT.csv,320,0.001,0.009538277983665466,0.09766411036252975,0.0006515997229143977
Binance,TUSDUSDT.csv,512,0.001,0.011092623695731163,0.10532153397798538,0.009271735325455666
Binance,UNIUSDT.csv,384,0.01,0.0005430866731330752,0.023304220288991928,3.01050822599791e-05
Binance,USDCUSDT.csv,416,0.0001,0.009201348759233952,0.09592366218566895,0.008856330066919327
Binance,VETUSDT.csv,416,0.001,0.0013088657287880778,0.03617824986577034,0.0003174631856381893
Binance,XLMUSDT.csv,480,0.001,0.009724284522235394,0.09861178696155548,0.0017267662333324552
Binance,XMRUSDT.csv,288,0.0001,0.0004904072266072035,0.022145139053463936,5.9734938986366615e-05
Binance,XRPUSDT.csv,512,0.0001,0.0008264424395747483,0.028747912496328354,0.00021926331100985408
Binance,ZECUSDT.csv,384,0.001,0.006306967698037624,0.079416424036026,0.001695285434834659
Bitfinex,AIDUSD.csv,352,0.1,0.05646888166666031,0.23763182759284973,0.5390214920043945
Bitfinex,BATUSD.csv,64,0.01,0.023791885003447533,0.15424618124961853,0.0003844446619041264
Bitfinex,BTCUSD.csv,256,0.001,2.8646203645621426e-05,0.00535221491008997,9.378483809996396e-06
Bitfinex,DAIUSD.csv,160,0.001,0.03216711804270744,0.17935194075107574,0.08693946152925491
Bitfinex,EDOUSD.csv,256,0.001,0.0007111715385690331,0.026667797937989235,0.000213619860005565
Bitfinex,EOSUSD.csv,512,0.01,0.0006861471920274198,0.026194410398602486,0.0006588410469703376
Bitfinex,ETCUSD.csv,480,0.1,62.01479721069336,7.8749470710754395,0.010571470484137535
Bitfinex,ETHUSD.csv,64,0.001,0.008393357507884502,0.09161527454853058,0.0012657905463129282
Bitfinex,ETPUSD.csv,64,0.01,0.0026257734280079603,0.05124229937791824,0.0004013673751614988
Bitfinex,LTCUSD.csv,512,0.1,1.5840407609939575,1.2585867643356323,0.019140344113111496
Bitfinex,NEOUSD.csv,320,0.01,0.0030698899645358324,0.055406589061021805,9.718978981254622e-05
Bitfinex,OMGUSD.csv,352,0.001,0.004648657515645027,0.06818106770515442,9.202649380313233e-05
Bitfinex,REPUSD.csv,192,0.01,0.0002391785237705335,0.01546539831906557,0.0005408546421676874
Bitfinex,TRXUSD.csv,224,0.001,0.00016065200907178223,0.012674856930971146,1.7827220290200785e-05
Bitfinex,XMRUSD.csv,96,0.01,0.0007617336814291775,0.027599522843956947,7.12805413058959e-05
Bitfinex,XVGUSD.csv,224,0.1,0.06149061769247055,0.2479730248451233,0.011552482843399048
Bitstamp,BCHUSD.csv,416,0.001,6.625812238780782e-05,0.008139909245073795,5.1280625484650955e-05
Bitstamp,BTCUSD.csv,480,0.001,0.00012366064765956253,0.011120281182229519,9.76556202658685e-06
Bitstamp,ETHUSD.csv,416,0.001,9.796966332942247e-05,0.009897963143885136,1.856693961599376e-05
Bitstamp,LTCUSD.csv,416,0.001,0.00014048063894733787,0.011852452531456947,4.1126288124360144e-05
Bitstamp,XRPUSD.csv,224,0.001,0.00013092716108076274,0.011442341841757298,2.2799316866439767e-05
FTX,BCHUSD.csv,96,0.0001,0.008108202368021011,0.09004555642604828,0.001297472044825554
FTX,BCHUSDT.csv,512,0.001,0.0005356893525458872,0.023144962266087532,0.00019478859030641615
FTX,BNBUSD.csv,512,0.0001,0.018587613478302956,0.13633640110492706,0.0014181050937622786
FTX,BNBUSDT.csv,448,0.001,6.838060653535649e-05,0.00826925691217184,4.315921614761464e-06
FTX,BTCUSD.csv,512,0.0001,0.00526454858481884,0.07255721092224121,0.0004900941858068109
FTX,BTCUSDT.csv,512,1e-05,0.001976613886654377,0.04445912688970566,6.367886817315593e-05
FTX,ETHUSD.csv,288,0.0001,0.011935273185372353,0.10924867540597916,0.0006229182472452521
FTX,ETHUSDT.csv,224,0.01,0.13047562539577484,0.36121413111686707,0.00010047148680314422
FTX,LINKUSD.csv,288,0.001,0.000645248219370842,0.025401737540960312,4.809793608728796e-05
FTX,LINKUSDT.csv,512,0.001,0.0006065750494599342,0.024628743529319763,2.239923742308747e-05
FTX,LTCUSD.csv,384,0.001,0.004278876818716526,0.06541312485933304,0.00046735769137740135
FTX,LTCUSDT.csv,224,0.001,0.000784741307143122,0.028013233095407486,0.00015884751337580383
FTX,TRXUSD.csv,512,0.001,0.0016513759037479758,0.040637124329805374,4.505863762460649e-05
