Platform,Symbol,Units,LR,Test_Loss,Test_Acc,Val_Loss,Train_f_shape_0,Train_f_shape_1
Binance,AAVEUSDT,480,0.01,0.0003158602921757847,0.017772458493709564,0.00013180389942135662,1,2
Binance,ADAUSDT,512,0.001,0.01249069906771183,0.11176180094480515,0.0026325297076255083,1,2
Binance,BATUSDT,192,0.001,0.009676763787865639,0.09837054461240768,0.0013621599646285176,1,2
Binance,BNBUSDT,448,0.0001,0.011785151436924934,0.10855944454669952,0.0009027523337863386,1,2
Binance,BTCUSDT,480,0.0001,0.0012408405309543014,0.03522556647658348,7.73484498495236e-05,1,2
Binance,BTTUSDT,384,0.0001,0.00013250413758214563,0.011511043645441532,3.5040850434597814e-06,1,2
Binance,CELRUSDT,512,0.001,0.014022988267242908,0.11841869354248047,2.5155706680379808e-05,1,2
Binance,CVCUSDT,512,0.001,0.000252828118391335,0.015900569036602974,0.00020899236551485956,1,2
Binance,DAIUSDT,32,0.1,0.15897783637046814,0.39872023463249207,0.306604266166687,1,2
Binance,DASHUSDT,320,0.001,0.007664545439183712,0.08754739165306091,0.006439629476517439,1,2
Binance,DOTUSDT,192,0.01,0.003579250071197748,0.05982682853937149,0.0007330540101975203,1,2
Binance,EOSUSDT,384,0.0001,4.540612280834466e-05,0.006738406140357256,0.0013047748943790793,1,2
Binance,ETCUSDT,352,0.0001,0.22442418336868286,0.4737343192100525,1.982431411743164,1,2
Binance,ETHUSDT,384,0.0001,0.01071395818144083,0.10350825637578964,0.0011228247312828898,1,2
Binance,FILUSDT,352,0.01,0.02283274382352829,0.15110507607460022,0.0002877541701309383,1,2
Binance,ICPUSDT,192,0.01,0.1916128247976303,0.43773600459098816,0.0002423533151159063,1,2
Binance,ICXUSDT,512,0.1,3.527139663696289,1.8780680894851685,0.0008220228482969105,1,2
Binance,LINKUSDT,448,0.001,0.0015499272849410772,0.039369113743305206,0.00025302646099589765,1,2
Binance,LRCUSDT,128,0.01,3.1559760827803984e-05,0.005617806687951088,3.115992876701057e-05,1,2
Binance,LTCUSDT,384,0.0001,0.0003035466361325234,0.017422590404748917,6.157335155876353e-05,1,2
Binance,MATICUSDT,512,0.001,0.00026091502513736486,0.016152862459421158,0.00012911939120385796,1,2
Binance,MKRUSDT,352,0.1,0.08270759135484695,0.28758928179740906,0.004026713315397501,1,2
Binance,NEOUSDT,352,0.001,0.003706736024469137,0.06088297441601753,0.013152025640010834,1,2
Binance,ONEUSDT,288,0.0001,0.0004470607382245362,0.02114381268620491,1.4945697330404073e-05,1,2
Binance,PAXUSDT,224,0.0001,0.0032837605103850365,0.057304106652736664,0.008022265508770943,1,2
Binance,QTUMUSDT,32,0.1,1.4923207759857178,1.221605896949768,0.3369194567203522,1,2
Binance,SCUSDT,32,0.001,0.0021962402388453484,0.046864062547683716,6.250021397136152e-05,1,2
Binance,SOLUSDT,512,0.1,37.089298248291016,6.0900983810424805,0.10163696110248566,1,2
Binance,TRXUSDT,416,0.001,0.017309686169028282,0.13156628608703613,0.0009800263214856386,1,2
Binance,TUSDUSDT,32,0.001,0.011843246407806873,0.10882668197154999,0.009242908097803593,1,2
Binance,UNIUSDT,448,0.001,7.179320527939126e-05,0.008473087102174759,2.9085116693750024e-05,1,2
Binance,USDCUSDT,32,0.001,0.010758771561086178,0.10372449457645416,0.008853863924741745,1,2
Binance,VETUSDT,512,0.01,0.004449802450835705,0.06670684367418289,6.729621964041144e-05,1,2
Binance,XLMUSDT,480,0.0001,0.000956387200858444,0.030925512313842773,0.00028133849264122546,1,2
Binance,XMRUSDT,320,0.0001,0.0004302760062273592,0.020743096247315407,6.961174221942201e-05,1,2
Binance,XRPUSDT,384,0.0001,0.0013931484427303076,0.03732490539550781,0.00025675990036688745,1,2
Binance,ZECUSDT,448,0.0001,0.000492141698487103,0.02218426764011383,0.00010297167318640277,1,2
Bitfinex,AIDUSD,32,0.1,0.05903356894850731,0.24296824634075165,0.539496898651123,1,2
Bitfinex,BATUSD,64,0.001,0.011774902231991291,0.10851223021745682,9.935807611327618e-05,1,2
Bitfinex,BTCUSD,224,0.001,3.625510726124048e-05,0.00602122163400054,1.0865956028283108e-05,1,2
Bitfinex,DAIUSD,32,0.1,0.08904462307691574,0.29840344190597534,0.09228552877902985,1,2
Bitfinex,EDOUSD,512,0.001,6.236565968720242e-05,0.007897193543612957,9.871531801763922e-05,1,2
Bitfinex,EOSUSD,512,0.001,3.8125825085444376e-05,0.006174611393362284,2.2834239643998444e-05,1,2
Bitfinex,ETCUSD,512,0.001,0.0002848298754543066,0.016876904293894768,5.310633423505351e-05,1,2
Bitfinex,ETHUSD,480,0.01,0.12646588683128357,0.355620414018631,0.0017907855799421668,1,2
Bitfinex,ETPUSD,416,0.001,0.0002153797831851989,0.014675822108983994,0.0001266711624339223,1,2
Bitfinex,LTCUSD,416,0.001,0.00024825919535942376,0.015756243839859962,3.833170922007412e-05,1,2
Bitfinex,NEOUSD,352,0.01,0.0018568006344139576,0.04309060797095299,8.585963951190934e-05,1,2
Bitfinex,OMGUSD,416,0.001,0.0019650086760520935,0.04432842135429382,4.865855589741841e-05,1,2
Bitfinex,REPUSD,512,0.01,0.11761166155338287,0.34294557571411133,0.000573113327845931,1,2
Bitfinex,TRXUSD,416,0.0001,0.0009028430213220417,0.030047347769141197,0.00014079974789638072,1,2
Bitfinex,XMRUSD,448,0.01,0.001764646964147687,0.042007703334093094,6.357171514537185e-05,1,2
Bitfinex,XVGUSD,416,0.01,0.019343910738825798,0.1390823870897293,0.0008118377299979329,1,2
Bitstamp,BCHUSD,512,0.001,5.2224553655833006e-05,0.007226656191051006,2.6242603780701756e-05,1,2
Bitstamp,BTCUSD,96,0.001,0.0006469631916843355,0.025435471907258034,9.13792882784037e-06,1,2
Bitstamp,ETHUSD,192,0.001,0.001457872218452394,0.0381820946931839,1.6761969163781032e-05,1,2
Bitstamp,LTCUSD,160,0.001,6.588299584109336e-05,0.008116833865642548,4.938393976772204e-05,1,2
Bitstamp,XRPUSD,512,0.001,6.222302909009159e-05,0.007888157851994038,1.1708084457495715e-05,1,2
FTX,BCHUSD,416,0.0001,0.002416765782982111,0.049160610884428024,0.00036250424454919994,1,2
FTX,BCHUSDT,384,0.001,0.0010292994556948543,0.032082699239254,7.86046075518243e-05,1,2
FTX,BNBUSD,288,0.0001,0.0191634651273489,0.13843217492103577,0.002064663218334317,1,2
FTX,BNBUSDT,416,0.0001,0.00031316044623963535,0.01769634149968624,2.5477056624367833e-05,1,2
FTX,BTCUSD,512,1e-05,0.009908429346978664,0.0995410904288292,0.0009204142261296511,1,2
FTX,BTCUSDT,320,0.001,0.00011075050133513287,0.010523807257413864,1.1916527000721544e-05,1,2
FTX,ETHUSD,480,0.0001,0.009959513321518898,0.09979736804962158,0.0003305182617623359,1,2
FTX,ETHUSDT,512,0.0001,0.00011604673636611551,0.01077249925583601,1.7571150237927213e-05,1,2
FTX,LINKUSD,480,0.001,0.0005990843055769801,0.024476198479533195,0.00011004462430719286,1,2
FTX,LINKUSDT,320,0.0001,7.956451008794829e-05,0.008919893763959408,7.032051507849246e-05,1,2
FTX,LTCUSD,288,0.001,0.002974103670567274,0.05453534051775932,0.00046412780648097396,1,2
FTX,LTCUSDT,32,0.001,0.00280627328902483,0.05297427251935005,0.00031900452449917793,1,2
FTX,TRXUSD,512,0.001,0.0014066824223846197,0.03750576451420784,5.529155532713048e-05,1,2
FTX,TRXUSDT,128,0.01,0.007970343343913555,0.08927678316831589,0.0010019054170697927,1,2
FTX,XRPUSD,320,0.01,0.021122589707374573,0.14533613622188568,8.181789598893374e-05,1,2
FTX,XRPUSDT,288,0.001,5.465038702823222e-05,0.007392589468508959,1.6531383153051138e-05,1,2
gemini,BTCUSD,256,0.001,0.0004414691939018667,0.021011169999837875,8.626643648312893e-06,1,2
gemini,ETHUSD,32,0.001,0.010788206942379475,0.10386629402637482,0.00011353743320796639,1,2
gemini,LTCUSD,512,0.001,0.0001046622492140159,0.010230457410216331,4.004870061180554e-05,1,2
gemini,ZECUSD,512,0.001,0.00020215478434693068,0.014218115247786045,4.2967687477357686e-05,1,2
Kucoin,ADAUSDT,512,0.0001,24.28817367553711,4.928303241729736,2.716724395751953,1,2
Kucoin,BCHUSDT,256,0.001,0.00014078227104619145,0.011865170672535896,2.7028192562283948e-05,1,2
Kucoin,BNBUSDT,512,0.01,177.24432373046875,13.313314437866211,48.77018356323242,1,2
